GJ 3779,1.0,13.75,b,0.026000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3942,1.0,16.94,b,0.060800,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3998,2.0,18.16,b,0.029000,c,0.089000,,,,,,,,,,,,,,,,,,,,,,,,
GJ 411,1.0,2.55,b,0.078500,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 422,1.0,12.67,b,0.111000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 4276,1.0,21.35,b,0.082000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 433,3.0,9.07,b,0.062000,c,4.819000,d,0.178000,,,,,,,,,,,,,,,,,,,,,,
GJ 436,1.0,9.76,b,0.029100,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 504,1.0,17.54,b,43.500000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 536,1.0,10.41,b,0.066610,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 581,3.0,6.30,b,0.040610,c,0.072100,e,0.028150,,,,,,,,,,,,,,,,,,,,,,
GJ 625,1.0,6.49,b,0.078361,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 649,1.0,10.38,b,1.135000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 674,1.0,4.55,b,0.039000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 682,2.0,5.01,b,0.080000,c,0.176000,,,,,,,,,,,,,,,,,,,,,,,,
GJ 685,1.0,14.32,b,0.134400,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 687,1.0,4.55,b,0.170000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 832,2.0,4.97,b,3.560000,c,0.163000,,,,,,,,,,,,,,,,,,,,,,,,
GJ 849,1.0,8.80,b,2.350000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 876,4.0,4.68,b,0.208317,c,0.129590,d,0.020807,e,0.334300,,,,,,,,,,,,,,,,,,,,
GJ 96,1.0,11.94,b,0.291000,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 9827,3.0,29.69,b,0.018800,c,0.039250,d,0.055910,,,,,,,,,,,,,,,,,,,,,,
GQ Lup,1.0,151.82,b,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,
GSC 06214-00210,1.0,145.00,b,320.000000,,,,,,,,,,,,,,,,,,,,,,,,,,
GU Psc,1.0,48.00,b,2000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Gl 378,1.0,14.96,b,0.039435,,,,,,,,,,,,,,,,,,,,,,,,,,
Gl 686,1.0,8.16,b,0.091700,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-11,2.0,37.81,b,0.052540,c,4.130000,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-12,1.0,142.50,b,0.038400,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-13,2.0,214.00,b,0.043830,c,1.258000,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-15,1.0,193.56,b,0.096500,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-17,2.0,92.63,b,0.088200,c,5.600000,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-18,1.0,166.00,b,0.055900,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-19,1.0,215.00,b,0.046600,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-2,1.0,128.25,b,0.068140,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-20,1.0,70.00,b,0.036100,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-21,1.0,279.48,b,0.049400,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-23,1.0,368.61,b,0.023200,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-25,1.0,302.95,b,0.046600,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-26,1.0,142.41,b,0.047900,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-27,1.0,204.00,b,0.040000,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-28,1.0,395.00,b,0.043400,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-29,1.0,316.36,b,0.066700,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-31,1.0,347.48,b,0.061000,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-34,1.0,251.08,b,0.067740,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-36,1.0,296.93,b,0.024100,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-37,1.0,411.00,b,0.037900,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-38,1.0,249.00,b,0.052300,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-39,1.0,642.00,b,0.050900,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-40,1.0,470.68,b,0.060800,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-42,1.0,447.00,b,0.057500,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-43,1.0,542.00,b,0.044300,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-44,2.0,363.00,b,0.050700,c,1.752000,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-45,1.0,305.00,b,0.045200,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-46,1.0,296.00,b,0.057700,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-49,1.0,353.89,b,0.043780,,,,,,,,,,,,,,,,,,,,,,,,,,
